symbol,name,fyers_symbol
CDSL,Central Depository Services (India) Limited,BSE:CDSL-EQ
CEATLTD,CEAT Limited,BSE:CEATLTD-EQ
CEIGALL,Ceigall India Limited,BSE:CEIGALL-EQ
CEINSYS,Ceinsys Tech Limited,BSE:CEINSYS-EQ
CELEBRITY,Celebrity Fashions Limited,BSE:CELEBRITY-EQ
CELLO,Cello World Limited,BSE:CELLO-EQ
CEMPRO,Cemindia Projects Limited,BSE:CEMPRO-EQ
CENTENKA,Century Enka Limited,BSE:CENTENKA-EQ
CENTEXT,Century Extrusions Limited,BSE:CENTEXT-EQ
CENTRALBK,Central Bank of India,BSE:CENTRALBK-EQ
CENTRUM,Centrum Capital Limited,BSE:CENTRUM-EQ
CENTUM,Centum Electronics Limited,BSE:CENTUM-EQ
CENTURYPLY,Century Plyboards (India) Limited,BSE:CENTURYPLY-EQ
CERA,Cera Sanitaryware Limited,BSE:CERA-EQ
CESC,CESC Limited,BSE:CESC-EQ
CEWATER,Concord Enviro Systems Limited,BSE:CEWATER-EQ
CFEL,Confidence Futuristic Energetech Limited,BSE:CFEL-EQ
CGCL,Capri Global Capital Limited,BSE:CGCL-EQ
CGPOWER,CG Power and Industrial Solutions Limited,BSE:CGPOWER-EQ
CGVAK,CG Vak Software & Exports Limited,BSE:CGVAK-EQ
CHALET,Chalet Hotels Limited,BSE:CHALET-EQ
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,BSE:CHAMBLFERT-EQ
CHEMBOND,Chembond Material Technologies Limited,BSE:CHEMBOND-EQ
CHEMCRUX,Chemcrux Enterprises Limited,BSE:CHEMCRUX-EQ
CHEMFAB,Chemfab Alkalis Limited,BSE:CHEMFAB-EQ
CHEMPLASTS,Chemplast Sanmar Limited,BSE:CHEMPLASTS-EQ
CHENNPETRO,Chennai Petroleum Corporation Limited,BSE:CHENNPETRO-EQ
CHEVIOT,Cheviot Company Limited,BSE:CHEVIOT-EQ
CHOICEIN,Choice International Limited,BSE:CHOICEIN-EQ
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,BSE:CHOLAFIN-EQ
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,BSE:CHOLAHLDNG-EQ
CIEINDIA,CIE Automotive India Limited,BSE:CIEINDIA-EQ
CIFL,Capital India Finance Limited,BSE:CIFL-EQ
CINELINE,Cineline India Limited,BSE:CINELINE-EQ
CINEVISTA,Cinevista Limited,BSE:CINEVISTA-EQ
CIPLA,Cipla Limited,BSE:CIPLA-EQ
CLEAN,Clean Science and Technology Limited,BSE:CLEAN-EQ
CLEANMAX,Clean Max Enviro Energy Solutions Limited,BSE:CLEANMAX-EQ
CLEDUCATE,CL Educate Limited,BSE:CLEDUCATE-EQ
CLSEL,Chaman Lal Setia Exports Limited,BSE:CLSEL-EQ
CMLL,Caliber Mining and Logistics Limited,BSE:CMLL-EQ
CMPDI,Central Mine Planning & Design Institute Limited,BSE:CMPDI-EQ
CMRGREEN,CMR Green Technologies Limited,BSE:CMRGREEN-EQ
CMSINFO,CMS Info Systems Limited,BSE:CMSINFO-EQ
CNL,Creative Newtech Limited,BSE:CNL-EQ
COALINDIA,Coal India Limited,BSE:COALINDIA-EQ
COASTCORP,Coastal Corporation Limited,BSE:COASTCORP-EQ
COCHINSHIP,Cochin Shipyard Limited,BSE:COCHINSHIP-EQ
COCKERILL,John Cockerill India Limited,BSE:COCKERILL-EQ
COFFEEDAY,Coffee Day Enterprises Limited,BSE:COFFEEDAY-EQ
COFORGE,Coforge Limited,BSE:COFORGE-EQ
COHANCE,Cohance Lifesciences Limited,BSE:COHANCE-EQ
COLPAL,Colgate Palmolive (India) Limited,BSE:COLPAL-EQ
COMFINTE,Comfort Intech Limited,BSE:COMFINTE-EQ
COMPEAU,Competent Automobiles Company Limited,BSE:COMPEAU-EQ
COMPUSOFT,Compucom Software Limited,BSE:COMPUSOFT-EQ
COMSYN,Commercial Syn Bags Limited,BSE:COMSYN-EQ
CONCOR,Container Corporation of India Limited,BSE:CONCOR-EQ
CONCORDBIO,Concord Biotech Limited,BSE:CONCORDBIO-EQ
CONFIPET,Confidence Petroleum India Limited,BSE:CONFIPET-EQ
CONTROLPR,Control Print Limited,BSE:CONTROLPR-EQ
CORALFINAC,Coral India Finance & Housing Limited,BSE:CORALFINAC-EQ
CORDELIA,Waterways Leisure Tourism Limited,BSE:CORDELIA-EQ
CORDSCABLE,Cords Cable Industries Limited,BSE:CORDSCABLE-EQ
COROMANDEL,Coromandel International Limited,BSE:COROMANDEL-EQ
CORONA,CORONA Remedies Limited,BSE:CORONA-EQ
COSMOFIRST,COSMO FIRST LIMITED,BSE:COSMOFIRST-EQ
CPCAP,CP Capital Limited,BSE:CPCAP-EQ
CPEDU,Career Point Edutech Limited,BSE:CPEDU-EQ
CPL,Captain Polyplast Limited,BSE:CPL-EQ
CPPLUS,Aditya Infotech Limited,BSE:CPPLUS-EQ
CRAFTSMAN,Craftsman Automation Limited,BSE:CRAFTSMAN-EQ
CRAMC,Canara Robeco Asset Management Company Limited,BSE:CRAMC-EQ
CRAVATEX,Cravatex Limited,BSE:CRAVATEX-EQ
CREATIVEYE,Creative Eye Limited,BSE:CREATIVEYE-EQ
CREDITACC,CREDITACCESS GRAMEEN LIMITED,BSE:CREDITACC-EQ
CREST,Crest Ventures Limited,BSE:CREST-EQ
CRISIL,Crisil Limited,BSE:CRISIL-EQ
CRIZAC,Crizac Limited,BSE:CRIZAC-EQ
CROMPTON,Crompton Greaves Consumer Electricals Limited,BSE:CROMPTON-EQ
CROWN,Crown Lifters Limited,BSE:CROWN-EQ
CSBBANK,CSB Bank Limited,BSE:CSBBANK-EQ
CSLFINANCE,CSL Finance Limited,BSE:CSLFINANCE-EQ
CSM,CSM Technologies Limited,BSE:CSM-EQ
CUB,City Union Bank Limited,BSE:CUB-EQ
CUBEXTUB,Cubex Tubings Limited,BSE:CUBEXTUB-EQ
CUMMINSIND,Cummins India Limited,BSE:CUMMINSIND-EQ
CUPID,Cupid Limited,BSE:CUPID-EQ
CURAA,Cura Technologies Limited,BSE:CURAA-EQ
CYBERMEDIA,Cyber Media (India) Limited,BSE:CYBERMEDIA-EQ
CYIENT,Cyient Limited,BSE:CYIENT-EQ
CYIENTDLM,Cyient DLM Limited,BSE:CYIENTDLM-EQ
DABUR,Dabur India Limited,BSE:DABUR-EQ
DALBHARAT,Dalmia Bharat Limited,BSE:DALBHARAT-EQ
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,BSE:DALMIASUG-EQ
DAMCAPITAL,Dam Capital Advisors Limited,BSE:DAMCAPITAL-EQ
DANGEE,Dangee Dums Limited,BSE:DANGEE-EQ
DATAMATICS,Datamatics Global Services Limited,BSE:DATAMATICS-EQ
DATAPATTNS,Data Patterns (India) Limited,BSE:DATAPATTNS-EQ
DAVANGERE,Davangere Sugar Company Limited,BSE:DAVANGERE-EQ
DBCORP,D.B.Corp Limited,BSE:DBCORP-EQ
DBEIL,Deepak Builders & Engineers India Limited,BSE:DBEIL-EQ
DBL,Dilip Buildcon Limited,BSE:DBL-EQ
DBOL,Dhampur Bio Organics Limited,BSE:DBOL-EQ
DBREALTY,Valor Estate Limited,BSE:DBREALTY-EQ
DCAL,Dishman Carbogen Amcis Limited,BSE:DCAL-EQ
DCBBANK,DCB Bank Limited,BSE:DCBBANK-EQ
DCI,Dc Infotech And Communication Limited,BSE:DCI-EQ
DCMFINSERV,DCM Financial Services Limited,BSE:DCMFINSERV-EQ
DCMNVL,DCM Nouvelle Limited,BSE:DCMNVL-EQ
DCMSHRIRAM,DCM Shriram Limited,BSE:DCMSHRIRAM-EQ
DCMSIL,DCM Shriram International Limited,BSE:DCMSIL-EQ
DCMSRIND,DCM Shriram Industries Limited,BSE:DCMSRIND-EQ
DCW,DCW Limited,BSE:DCW-EQ
DCXINDIA,DCX Systems Limited,BSE:DCXINDIA-EQ
DDEVPLSTIK,Ddev Plastiks Industries Limited,BSE:DDEVPLSTIK-EQ
DECCANCE,Deccan Cements Limited,BSE:DECCANCE-EQ
DECNGOLD,Deccan Gold Mines Limited,BSE:DECNGOLD-EQ
DEEDEV,DEE Development Engineers Limited,BSE:DEEDEV-EQ
DEEP,Deep Polymers Limited,BSE:DEEP-EQ
DEEPA,Deepa Jewellers Limited,BSE:DEEPA-EQ
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,BSE:DEEPAKFERT-EQ
DEEPAKNTR,Deepak Nitrite Limited,BSE:DEEPAKNTR-EQ
DEEPINDS,Deep Industries Limited,BSE:DEEPINDS-EQ
DELHIVERY,Delhivery Limited,BSE:DELHIVERY-EQ
DELTACORP,Delta Corp Limited,BSE:DELTACORP-EQ
DELTAMAGNT,Delta Manufacturing Limited,BSE:DELTAMAGNT-EQ
DEN,Den Networks Limited,BSE:DEN-EQ
DENORA,De Nora India Limited,BSE:DENORA-EQ
DENTA,Denta Water and Infra Solutions Limited,BSE:DENTA-EQ
DEVIT,Dev Information Technology Limited,BSE:DEVIT-EQ
DEVX,Dev Accelerator Limited,BSE:DEVX-EQ
DEVYANI,Devyani International Limited,BSE:DEVYANI-EQ
DGCONTENT,Digicontent Limited,BSE:DGCONTENT-EQ
DHAMPURSUG,Dhampur Sugar Mills Limited,BSE:DHAMPURSUG-EQ
DHANBANK,Dhanlaxmi Bank Limited,BSE:DHANBANK-EQ
DHANUKA,Dhanuka Agritech Limited,BSE:DHANUKA-EQ
DHARMAJ,Dharmaj Crop Guard Limited,BSE:DHARMAJ-EQ
DHATRE,Dhatre Udyog Limited,BSE:DHATRE-EQ
DHOOTTRANS,Dhoot Transmission Limited,BSE:DHOOTTRANS-EQ
DHRUV,Dhruv Consultancy Services Limited,BSE:DHRUV-EQ
DHUNINV,Dhunseri Investments Limited,BSE:DHUNINV-EQ
DIAMINESQ,Diamines & Chemicals Limited,BSE:DIAMINESQ-EQ
DIAMONDYD,Prataap Snacks Limited,BSE:DIAMONDYD-EQ
DICIND,DIC India Limited,BSE:DICIND-EQ
DIFFNKG,Diffusion Engineers Limited,BSE:DIFFNKG-EQ
DIGIDRIVE,Digidrive Distributors Limited,BSE:DIGIDRIVE-EQ
DIGISPICE,DiGiSPICE Technologies Limited,BSE:DIGISPICE-EQ
DIGITIDE,Digitide Solutions Limited,BSE:DIGITIDE-EQ
DIGJAMLMTD,Digjam Limited,BSE:DIGJAMLMTD-EQ
DISAQ,Disa India Limited,BSE:DISAQ-EQ
DISHTV,Dish TV India Limited,BSE:DISHTV-EQ
DIVGIITTS,Divgi Torqtransfer Systems Limited,BSE:DIVGIITTS-EQ
DIVISLAB,Divi's Laboratories Limited,BSE:DIVISLAB-EQ
DIXON,Dixon Technologies (India) Limited,BSE:DIXON-EQ
DJML,DJ Mediaprint & Logistics Limited,BSE:DJML-EQ
DLF,DLF Limited,BSE:DLF-EQ
DLINKINDIA,D-Link (India) Limited,BSE:DLINKINDIA-EQ
DMART,Avenue Supermarts Limited,BSE:DMART-EQ
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,BSE:DMCC-EQ
DNAMEDIA,Diligent Media Corporation Limited,BSE:DNAMEDIA-EQ
DODLA,Dodla Dairy Limited,BSE:DODLA-EQ
DOLATALGO,Dolat Algotech Limited,BSE:DOLATALGO-EQ
DOLLAR,Dollar Industries Limited,BSE:DOLLAR-EQ
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,BSE:DOLPHIN-EQ
DOMS,DOMS Industries Limited,BSE:DOMS-EQ
DONEAR,Donear Industries Limited,BSE:DONEAR-EQ
DPABHUSHAN,D. P. Abhushan Limited,BSE:DPABHUSHAN-EQ
DRAGARWQ,Dr Agarwals Eye Hospital Limited,BSE:DRAGARWQ-EQ
DRCSYSTEMS,DRC Systems India Limited,BSE:DRCSYSTEMS-EQ
DREAMFOLKS,Dreamfolks Services Limited,BSE:DREAMFOLKS-EQ
DREDGECORP,Dredging Corporation of India Limited,BSE:DREDGECORP-EQ
DRREDDY,Dr. Reddy's Laboratories Limited,BSE:DRREDDY-EQ
DSSL,Dynacons Systems & Solutions Limited,BSE:DSSL-EQ
DUCON,Ducon Infratechnologies Limited,BSE:DUCON-EQ
DVL,Dhunseri Ventures Limited,BSE:DVL-EQ
DWARKESH,Dwarikesh Sugar Industries Limited,BSE:DWARKESH-EQ
DYCL,Dynamic Cables Limited,BSE:DYCL-EQ
DYNAMATECH,Dynamatic Technologies Limited,BSE:DYNAMATECH-EQ
DYNPRO,Dynemic Products Limited,BSE:DYNPRO-EQ
EASEMYTRIP,Easy Trip Planners Limited,BSE:EASEMYTRIP-EQ
EASTWEST,East West Freight Carriers Limited,BSE:EASTWEST-EQ
EBGNG,GNG Electronics Limited,BSE:EBGNG-EQ
ECLERX,eClerx Services Limited,BSE:ECLERX-EQ
ECORECO,Eco Recycling Limited,BSE:ECORECO-EQ
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,BSE:ECOSMOBLTY-EQ
EDELWEISS,Edelweiss Financial Services Limited,BSE:EDELWEISS-EQ
EFCIL,EFC (I) Limited,BSE:EFCIL-EQ
EICHERMOT,Eicher Motors Limited,BSE:EICHERMOT-EQ
EIDPARRY,EID Parry India Limited,BSE:EIDPARRY-EQ
EIEL,Enviro Infra Engineers Limited,BSE:EIEL-EQ
EIHAHOTELS,EIH Associated Hotels Limited,BSE:EIHAHOTELS-EQ
EIHOTEL,EIH Limited,BSE:EIHOTEL-EQ
EIMCOELECO,Eimco Elecon (India) Limited,BSE:EIMCOELECO-EQ
EKC,Everest Kanto Cylinder Limited,BSE:EKC-EQ
EKI,EKI Energy Services Limited,BSE:EKI-EQ
ELANTAS,Elantas Beck India Limited,BSE:ELANTAS-EQ
ELCIDIN,EL CID Investments Limited,BSE:ELCIDIN-EQ
ELDEHSG,Eldeco Housing And Industries Limited,BSE:ELDEHSG-EQ
ELECON,Elecon Engineering Company Limited,BSE:ELECON-EQ
ELECTCAST,Electrosteel Castings Limited,BSE:ELECTCAST-EQ
ELECTHERM,Electrotherm (India) Limited,BSE:ELECTHERM-EQ
ELGIEQUIP,Elgi Equipments Limited,BSE:ELGIEQUIP-EQ
ELGIRUBCO,Elgi Rubber Company Limited,BSE:ELGIRUBCO-EQ
ELIN,Elin Electronics Limited,BSE:ELIN-EQ
ELITECON,Elitecon International Limited,BSE:ELITECON-EQ
ELLEN,Ellenbarrie Industrial Gases Limited,BSE:ELLEN-EQ
ELPROINTL,Elpro International Limited,BSE:ELPROINTL-EQ
EMAMILTD,Emami Limited,BSE:EMAMILTD-EQ
EMAMIREAL,Emami Realty Limited,BSE:EMAMIREAL-EQ
EMBDL,Embassy Developments Limited,BSE:EMBDL-EQ
EMCURE,Emcure Pharmaceuticals Limited,BSE:EMCURE-EQ
EMIL,Electronics Mart India Limited,BSE:EMIL-EQ
EMKAY,Emkay Global Financial Services Limited,BSE:EMKAY-EQ
EMMVEE,Emmvee Photovoltaic Power Limited,BSE:EMMVEE-EQ
EMPIND,Empire Industries Limited,BSE:EMPIND-EQ
EMPOWER,Empower India Limited,BSE:EMPOWER-EQ
EMSLIMITED,EMS Limited,BSE:EMSLIMITED-EQ
EMUDHRA,eMudhra Limited,BSE:EMUDHRA-EQ
ENDURANCE,Endurance Technologies Limited,BSE:ENDURANCE-EQ
ENERGYDEV,Energy Development Company Limited,BSE:ENERGYDEV-EQ
ENGINERSIN,Engineers India Limited,BSE:ENGINERSIN-EQ
ENIL,Entertainment Network (India) Limited,BSE:ENIL-EQ
ENKEIWHEL,Enkei Wheels (India) Limited,BSE:ENKEIWHEL-EQ
ENRIN,Siemens Energy India Limited,BSE:ENRIN-EQ
ENTERO,Entero Healthcare Solutions Limited,BSE:ENTERO-EQ
EPACK,EPACK Durable Limited,BSE:EPACK-EQ
EPACKPEB,EPack Prefab Technologies Limited,BSE:EPACKPEB-EQ
EPIGRAL,Epigral Limited,BSE:EPIGRAL-EQ
EPL,EPL Limited,BSE:EPL-EQ
EQUITASBNK,Equitas Small Finance Bank Limited,BSE:EQUITASBNK-EQ
ERIS,Eris Lifesciences Limited,BSE:ERIS-EQ
ESABINDIA,Esab India Limited,BSE:ESABINDIA-EQ
ESCORTS,Escorts Kubota Limited,BSE:ESCORTS-EQ
ESDS,ESDS Software Solution Limited,BSE:ESDS-EQ
ESSARSHPNG,Essar Shipping Limited,BSE:ESSARSHPNG-EQ
ESSENTIA,Integra Essentia Limited,BSE:ESSENTIA-EQ
ESTER,Ester Industries Limited,BSE:ESTER-EQ
ETERNAL,ETERNAL LIMITED,BSE:ETERNAL-EQ
ETHOSLTD,Ethos Limited,BSE:ETHOSLTD-EQ
EUREKAFORB,Eureka Forbes Limited,BSE:EUREKAFORB-EQ
EUROBOND,Euro Panel Products Limited,BSE:EUROBOND-EQ
EUROPRATIK,Euro Pratik Sales Limited,BSE:EUROPRATIK-EQ
EVEREADY,Eveready Industries India Limited,BSE:EVEREADY-EQ
EXCELINDUS,Excel Industries Limited,BSE:EXCELINDUS-EQ
EXCELSOFT,Excelsoft Technologies Limited,BSE:EXCELSOFT-EQ
EXICOM,Exicom Tele-Systems Limited,BSE:EXICOM-EQ
EXIDEIND,Exide Industries Limited,BSE:EXIDEIND-EQ
EXPLEOSOL,Expleo Solutions Limited,BSE:EXPLEOSOL-EQ
EXXARO,Exxaro Tiles Limited,BSE:EXXARO-EQ
FABTECH,Fabtech Technologies Limited,BSE:FABTECH-EQ
FACT,Fertilizers and Chemicals Travancore Limited,BSE:FACT-EQ
FAZE3Q,Faze Three Limited,BSE:FAZE3Q-EQ
FCL,Fineotex Chemical Limited,BSE:FCL-EQ
FCSSOFT,FCS Software Solutions Limited,BSE:FCSSOFT-EQ
FDC,FDC Limited,BSE:FDC-EQ
FEDDERSHOL,Fedders Holding Limited,BSE:FEDDERSHOL-EQ
FEDERALBNK,The Federal Bank  Limited,BSE:FEDERALBNK-EQ
FEDFINA,Fedbank Financial Services Limited,BSE:FEDFINA-EQ
FERMENTA,Fermenta Biotech Limited,BSE:FERMENTA-EQ
FIBERWEB,Fiberweb (India) Limited,BSE:FIBERWEB-EQ
FIEMIND,Fiem Industries Limited,BSE:FIEMIND-EQ
FILATEX,Filatex India Limited,BSE:FILATEX-EQ
FILATFASH,Filatex Fashions Limited,BSE:FILATFASH-EQ
FINCABLES,Finolex Cables Limited,BSE:FINCABLES-EQ
FINEORG,Fine Organic Industries Limited,BSE:FINEORG-EQ
FINKURVE,Finkurve Financial Services Limited,BSE:FINKURVE-EQ
FINOPB,Fino Payments Bank Limited,BSE:FINOPB-EQ
FINPIPE,Finolex Industries Limited,BSE:FINPIPE-EQ
FIRSTCRY,Brainbees Solutions Limited,BSE:FIRSTCRY-EQ
FISCHER,Fischer Medical Ventures Limited,BSE:FISCHER-EQ
FIVESTAR,Five-Star Business Finance Limited,BSE:FIVESTAR-EQ
FLAIR,Flair Writing Industries Limited,BSE:FLAIR-EQ
FLUOROCHEM,Gujarat Fluorochemicals Limited,BSE:FLUOROCHEM-EQ
FMGOETZE,Federal-Mogul Goetze (India) Limited.,BSE:FMGOETZE-EQ
FMNL,Future Market Networks Limited,BSE:FMNL-EQ
FOODSIN,Foods & Inns Limited,BSE:FOODSIN-EQ
FORCEMOT,FORCE MOTORS LTD,BSE:FORCEMOT-EQ
FORTIS,Fortis Healthcare Limited,BSE:FORTIS-EQ
FOSECOIND,Foseco India Limited,BSE:FOSECOIND-EQ
FRACTAL,Fractal Analytics Limited,BSE:FRACTAL-EQ
FREDUN,Fredun Pharmaceuticals Limited,BSE:FREDUN-EQ
FRONTSP,Frontier Springs Limited,BSE:FRONTSP-EQ
FSL,Firstsource Solutions Limited,BSE:FSL-EQ
FUSION,Fusion Finance Limited,BSE:FUSION-EQ
GABRIEL,Gabriel India Limited,BSE:GABRIEL-EQ
GAEL,Gujarat Ambuja Exports Limited,BSE:GAEL-EQ
GAIL,GAIL (India) Limited,BSE:GAIL-EQ
GAJA,Gaja Alternative Asset Management Limited,BSE:GAJA-EQ
GALAPREC,Gala Precision Engineering Limited,BSE:GALAPREC-EQ
GALAXYSURF,Galaxy Surfactants Limited,BSE:GALAXYSURF-EQ
GALLANTT,Gallantt Ispat Limited,BSE:GALLANTT-EQ
GANDHAR,Gandhar Oil Refinery (India) Limited,BSE:GANDHAR-EQ
GANDHITUBE,Gandhi Special Tubes Limited,BSE:GANDHITUBE-EQ
GANECOS,Ganesha Ecosphere Limited,BSE:GANECOS-EQ
GANESHCP,Ganesh Consumer Products Limited,BSE:GANESHCP-EQ
GANESHHOU,GANESH HOUSING LIMITED,BSE:GANESHHOU-EQ
GANGAFORGE,Ganga Forging Limited,BSE:GANGAFORGE-EQ
GANGESSECU,Ganges Securities Limited,BSE:GANGESSECU-EQ
GARFIBRES,Garware Technical Fibres Limited,BSE:GARFIBRES-EQ
GARUDA,Garuda Construction and Engineering Limited,BSE:GARUDA-EQ
GATEWAY,Gateway Distriparks Limited,BSE:GATEWAY-EQ
GAYAHWS,Gayatri Highways Limited,BSE:GAYAHWS-EQ
GAYAPROJ,Gayatri Projects Limited,BSE:GAYAPROJ-EQ
GCSL,Gretex Corporate Services Limited,BSE:GCSL-EQ
GEEKAYWIRE,Geekay Wires Limited,BSE:GEEKAYWIRE-EQ
GEMAROMA,Gem Aromatics Limited,BSE:GEMAROMA-EQ
GENCON,Generic Engineering Construction and Projects Limited,BSE:GENCON-EQ
GENESYS,Genesys International Corporation Limited,BSE:GENESYS-EQ
GENUSPAPER,Genus Paper & Boards Limited,BSE:GENUSPAPER-EQ
GENUSPOWER,Genus Power Infrastructures Limited,BSE:GENUSPOWER-EQ
GEOJITFSL,Geojit Financial Services Limited,BSE:GEOJITFSL-EQ
GESHIP,The Great Eastern Shipping Company Limited,BSE:GESHIP-EQ
GFLLIMITED,GFL Limited,BSE:GFLLIMITED-EQ
GFSTEELS,Grand Foundry Limited,BSE:GFSTEELS-EQ
GHCL,GHCL Limited,BSE:GHCL-EQ
GHCLTEXTIL,GHCL Textiles Limited,BSE:GHCLTEXTIL-EQ
GICHSGFIN,GIC Housing Finance Limited,BSE:GICHSGFIN-EQ
GICL,Globe International Carriers Limited,BSE:GICL-EQ
GICRE,General Insurance Corporation of India,BSE:GICRE-EQ
GILLANDERS,Gillanders Arbuthnot & Company Limited,BSE:GILLANDERS-EQ
GILLETTE,Gillette India Limited,BSE:GILLETTE-EQ
GIPCL,Gujarat Industries Power Company Limited,BSE:GIPCL-EQ
GKB,GKB Ophthalmics Limited,BSE:GKB-EQ
GKENERGY,GK Energy Limited,BSE:GKENERGY-EQ
GKSL,Gujarat Kidney And Super Speciality Limited,BSE:GKSL-EQ
GKWLIMITED,GKW Limited,BSE:GKWLIMITED-EQ
GLAND,Gland Pharma Limited,BSE:GLAND-EQ
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,BSE:GLAXO-EQ
GLENMARK,Glenmark Pharmaceuticals Limited,BSE:GLENMARK-EQ
GLFL,Gujarat Lease Financing Limited,BSE:GLFL-EQ
GLOBAL,Global Education Limited,BSE:GLOBAL-EQ
GLOBALE,Globale Tessile Limited,BSE:GLOBALE-EQ
GLOBALVECT,Global Vectra Helicorp Limited,BSE:GLOBALVECT-EQ
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,BSE:GLOBE-EQ
GLOBECIVIL,Globe Civil Projects Limited,BSE:GLOBECIVIL-EQ
GLOBUSSPR,Globus Spirits Limited,BSE:GLOBUSSPR-EQ
GLOSTERLTD,Gloster Limited,BSE:GLOSTERLTD-EQ
GLOTTIS,Glottis Limited,BSE:GLOTTIS-EQ
GMBREW,GM Breweries Limited,BSE:GMBREW-EQ
GMDCLTD,Gujarat Mineral Development Corporation Limited,BSE:GMDCLTD-EQ
GMMPFAUDLR,GMM Pfaudler Limited,BSE:GMMPFAUDLR-EQ
GMRAIRPORT,GMR AIRPORTS LIMITED,BSE:GMRAIRPORT-EQ
GMRP&UI,GMR Power and Urban Infra Limited,BSE:GMRP&UI-EQ
GNA,GNA Axles Limited,BSE:GNA-EQ
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,BSE:GNFC-EQ
GNRL,Gujarat Natural Resources Limited,BSE:GNRL-EQ
GOACARBON,Goa Carbon Limited,BSE:GOACARBON-EQ
GOCLCORP,GOCL Corporation Limited,BSE:GOCLCORP-EQ
GOCOLORS,Go Fashion (India) Limited,BSE:GOCOLORS-EQ
GODAVARIB,Godavari Biorefineries Limited,BSE:GODAVARIB-EQ
GODFRYPHLP,Godfrey Phillips India Limited,BSE:GODFRYPHLP-EQ
GODIGIT,Go Digit General Insurance Limited,BSE:GODIGIT-EQ
GODREJAGRO,Godrej Agrovet Limited,BSE:GODREJAGRO-EQ
GODREJCP,Godrej Consumer Products Limited,BSE:GODREJCP-EQ
GODREJIND,Godrej Industries Limited,BSE:GODREJIND-EQ
GODREJPROP,Godrej Properties Limited,BSE:GODREJPROP-EQ
GOKEX,Gokaldas Exports Limited,BSE:GOKEX-EQ
GOKUL,Gokul Refoils and Solvent Limited,BSE:GOKUL-EQ
GOKULAGRO,Gokul Agro Resources Limited,BSE:GOKULAGRO-EQ
GOLDIAM,Goldiam International Limited,BSE:GOLDIAM-EQ
GOODLUCK,Goodluck India Limited,BSE:GOODLUCK-EQ
GOODYEAR,Goodyear India Limited,BSE:GOODYEAR-EQ
GOPAL,Gopal Snacks Limited,BSE:GOPAL-EQ
GOYALALUM,Goyal Aluminiums Limited,BSE:GOYALALUM-EQ
GPIL,Godawari Power And Ispat limited,BSE:GPIL-EQ
GPPL,Gujarat Pipavav Port Limited,BSE:GPPL-EQ
GPTHEALTH,GPT Healthcare Limited,BSE:GPTHEALTH-EQ
GPTINFRA,GPT Infraprojects Limited,BSE:GPTINFRA-EQ
GRADIENTE,Gradiente Infotainment Limited,BSE:GRADIENTE-EQ
GRANDOAK,Grand Oak Canyons Distillery Limited,BSE:GRANDOAK-EQ
GRANULES,Granules India Limited,BSE:GRANULES-EQ
GRAPHITE,Graphite India Limited,BSE:GRAPHITE-EQ
GRASIM,Grasim Industries Limited,BSE:GRASIM-EQ
GRAUWEIL,Grauer & Weil India Limited,BSE:GRAUWEIL-EQ
GRAVISSHO,Graviss Hospitality Limited,BSE:GRAVISSHO-EQ
GRAVITA,Gravita India Limited,BSE:GRAVITA-EQ
GREAVESCOT,Greaves Cotton Limited,BSE:GREAVESCOT-EQ
GREENLAM,Greenlam Industries Limited,BSE:GREENLAM-EQ
GREENPANEL,Greenpanel Industries Limited,BSE:GREENPANEL-EQ
GREENPLY,Greenply Industries Limited,BSE:GREENPLY-EQ
GREENPOWER,Orient Green Power Company Limited,BSE:GREENPOWER-EQ
GRINDWELL,Grindwell Norton Limited,BSE:GRINDWELL-EQ
GRINFRA,G R Infraprojects Limited,BSE:GRINFRA-EQ
GRMOVER,GRM Overseas Limited,BSE:GRMOVER-EQ
GROBTEA,The Grob Tea Company Limited,BSE:GROBTEA-EQ
GROWW,Billionbrains Garage Ventures Limited,BSE:GROWW-EQ
GRPLTD,GRP Limited,BSE:GRPLTD-EQ
GRSE,Garden Reach Shipbuilders & Engineers Limited,BSE:GRSE-EQ
GRWRHITECH,Garware Hi-Tech Films Limited,BSE:GRWRHITECH-EQ
GSFC,Gujarat State Fertilizers & Chemicals Limited,BSE:GSFC-EQ
GSLSU,Global Surfaces Limited,BSE:GSLSU-EQ
GSPCROP,GSP Crop Science Limited,BSE:GSPCROP-EQ
GSS,GSS Infotech Limited,BSE:GSS-EQ
GTL,GTL Limited,BSE:GTL-EQ
GTLINFRA,GTL Infrastructure Limited,BSE:GTLINFRA-EQ
GTPL,GTPL Hathway Limited,BSE:GTPL-EQ
GUFICBIO,Gufic Biosciences Limited,BSE:GUFICBIO-EQ
